city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Springfield, OR",16,3,13
"State College, PA",43.4,3,11
"Stillwater, OK",31.2,6,15
"Stow, OH",6.9,2,10
"Strongsville, OH",4.5,2,9
"Summerville, SC",10.4,4,14
"Sumter, SC",20.4,8,17
"Temple, TX",16.5,5,14
Tennessee,13.6,5,13
"Texarkana, TX",21.3,6,14
Texas,14.2,6,18
"Texas City, TX",15.9,5,15
"The Colony, TX",7.2,2,12
"Tigard, OR",6.7,2,11
"Troy, OH",8.8,3,11
"Tualatin, OR",10.2,2,11
US,12.8,5,14
"University Park, TX",4.8,4,15
"Upper Arlington, OH",2.3,2,11
"Victoria, TX",18.1,4,14
"Warren, OH",34.6,6,13
"Waxahachie, TX",9.5,3,13
"Weatherford, TX",9.1,2,10
"Weslaco, TX",26.2,9,21
"West Linn, OR",4.7,2,10
"West Odessa, TX",15.7,6,17
"Westerville, OH",5.4,3,12
"Westlake, OH",4.9,2,9
"Wilkes-Barre, PA",20.4,6,14
"Williamsport, PA",24.4,4,11
"Woodburn, OR",14.4,3,13
"Woonsocket, RI",18.7,4,11
"Wooster, OH",11.6,4,12
"Wylie, TX",6.7,2,13
"Xenia, OH",18.5,3,11
"York, PA",28.7,5,13
"Youngstown, OH",35.3,6,13
"Yukon, OK",9.2,2,12
"Zanesville, OH",26.7,5,13
"Addison, TX",8.7,4,18
"Alamo, TX",23.5,10,22
"Aldine, TX",33.6,14,27
"Alice, TX",23.9,12,18
"Alpine, UT",6.9,1,11
"Alton, TX",30.6,10,23
"Andrews, TX",15.4,9,17
"Angleton, TX",12.7,3,14
"Anna, TX",9.3,2,13
"Athens, TX",24.3,6,14
"Azle, TX",10,2,12
"Bacliff, TX",18.8,2,12
"Bailey's Crossroads, VA",23,4,16
"Bay City, TX",23.3,7,15
"Beeville, TX",24.3,6,14
"Bellaire, TX",2.1,5,17
"Bellmead, TX",20.3,3,13
"Belton, TX",19.4,5,14
"Benbrook, TX",6.5,5,15
"Bluffdale, UT",2.5,2,11
"Boerne, TX",6.7,4,12
"Bon Air, VA",5.2,4,16
"Bonham, TX",18.1,4,13
"Borger, TX",13.8,8,17
"Brambleton, VA",0.8,1,12
"Brandermill, VA",6.2,2,10
"Brenham, TX",14.1,6,14
"Brigham City, UT",8.8,4,13
"Bristol, VA",17.7,4,12
"Broadlands, VA",2,1,12
"Brownwood, TX",16.8,5,13
"Brushy Creek, TX",3.2,2,14
"Buckhall, VA",3.4,4,18
"Buda, TX",6,3,15
"Bull Run, VA",13.1,4,18
"Burkburnett, TX",9.8,5,14
"Burke Centre, VA",5.3,1,11
"Canyon, TX",15.4,3,12
"Cascades, VA",2.3,2,13
"Cedar Hills, UT",5.2,1,11
"Celina, TX",8.3,2,12
"Centerville, UT",3.3,2,10
"Chantilly, VA",3.9,2,13
"Cherry Hill, VA",9.6,3,17
"Chester, VA",10.1,2,12
"Christiansburg, VA",12.9,3,12
"Cinco Ranch, TX",8,3,17
"Clinton, UT",2.9,2,11
"Clute, TX",9.3,4,14
"Colonial Heights, VA",9,7,17
"Corinth, TX",4.1,3,14
"Corsicana, TX",13,7,15
"Crowley, TX",7,4,16
"Culpeper, VA",9.7,3,12
"Denison, TX",18.1,4,13
"Dickinson, TX",10.6,3,13
"Donna, TX",43.2,10,22
"Dranesville, VA",2.6,2,12
"Dumas, TX",12.6,8,17
"East Highland Park, VA",13.8,5,17
"El Campo, TX",19.8,7,15
"Elgin, TX",9.8,4,14
"Ennis, TX",15.1,3,13
"Essex Junction, VT",7.6,2,10
"Fairfax Station, VA",2.3,1,11
"Fairfax, VA",10.1,1,11
"Falls Church, VA",2.5,1,10
"Farmington, UT",3.5,2,10
"Fate, TX",1.6,3,13
"Forest, VA",4.6,3,12
"Forest Hill, TX",15.5,8,20
"Forney, TX",8.2,4,14
"Fort Bliss, TX",11.5,6,21
"Fort Hood, TX",16.5,4,14
"Fort Hunt, VA",1.9,3,14
"Four Corners, TX",11.4,3,18
"Franconia, VA",3.7,2,12
"Franklin Farm, VA",2.9,2,12
"Fredericksburg, TX",11.5,4,12
"Freeport, TX",20.9,4,14
"Front Royal, VA",14.5,4,12
"Gainesville, VA",3.9,1,10
"Gainesville, TX",23.1,4,13
"Galena Park, TX",29.8,9,25
"Gatesville, TX",13,4,13
"Glen Allen, VA",7,5,17
"Glenn Heights, TX",9.1,5,18
"Grantsville, UT",5,4,13
"Great Falls, VA",3.1,1,10
"Groves, TX",10.9,6,16
"Groveton, VA",10.9,3,14
"Heber, UT",4.8,4,14
"Henderson, TX",7.4,6,16
"Hereford, TX",14.4,8,17
"Herndon, VA",7.3,2,12
"Hewitt, TX",7.6,3,12
"Hidalgo, TX",29.6,9,22
"Highland Springs, VA",15,5,17
"Highland Village, TX",1.8,1,9
"Highland, UT",1.3,1,11
"Hollins, VA",7.2,3,10
"Hopewell, VA",24,7,17
"Horizon City, TX",15.5,6,21
"Humble, TX",17.9,5,18
"Huntington, VA",7.1,3,14
"Hurricane, UT",10.6,2,11
"Hybla Valley, VA",18.7,3,14
"Idylwood, VA",6,1,10
"Ingleside, TX",10.1,6,14
"Jacinto City, TX",17.8,9,25
"Jacksonville, TX",22.2,6,16
"Katy, TX",2.2,2,15
"Kerrville, TX",13.7,4,12
"Kilgore, TX",15.2,6,16
"Kings Park West, VA",7,1,11
"Kingstowne, VA",3.9,2,13
"La Homa, TX",35.7,9,22
"La Marque, TX",14,5,15
"Lake Monticello, VA",3.8,3,11
"Lakeside, VA",9.6,5,17
"Lakeway, TX",3,2,11
"Lansdowne, VA",4,1,12
"Laurel, VA",8.9,4,14
"Leon Valley, TX",14,4,15
"Levelland, TX",17.5,10,17
"Lincolnia, VA",8.9,4,16
"Lindon, UT",3.1,2,13
"Live Oak, TX",7.9,3,15
"Lockhart, TX",10.7,4,14
"Lorton, VA",7.8,2,12
"Lowes Island, VA",0.7,2,13
"Lumberton, TX",5.2,4,11
"Madison Heights, VA",12.6,3,12
"Manassas Park, VA",4.4,4,18
"Manchester, VA",12.1,4,16
"Manvel, TX",4.3,3,14
"Marshall, TX",25,7,14
"Martinsville, VA",25.4,7,15
"McNair, VA",5.5,2,12
"Meadowbrook, VA",12,4,15
"Mercedes, TX",27,9,21
"Merrifield, VA",7.6,2,11
"Mineral Wells, TX",16.2,4,12
"Montclair, VA",4.2,3,17
"Mount Pleasant, TX",17.1,7,15
"Mount Vernon, VA",10.8,3,14
"Murphy, TX",4.7,2,12
"Nederland, TX",8,6,16
"New Baltimore, VA",2.6,3,12
"Newington, VA",1.6,2,12
"Newington Forest, VA",4.6,1,12
"North Logan, UT",13.8,2,12
"North Ogden, UT",7.5,2,12
"North Salt Lake, UT",2.9,2,10
"Orange, TX",17,4,11
"Palestine, TX",18.8,6,14
"Pampa, TX",17.1,8,17
"Paris, TX",23,7,15
"Payson, UT",7.5,1,12
"Pearsall, TX",28,4,13
"Pecan Grove, TX",7.8,3,15
"Pecos, TX",17.9,9,17
"Plainview, TX",18.4,10,17
"Pleasant View, UT",6.1,2,12
"Pleasanton, TX",14.5,4,13
"Poquoson, VA",4.4,2,11
"Port Lavaca, TX",11.4,4,14
"Port Neches, TX",8.9,6,16
"Portland, TX",7.9,6,14
"Princeton, TX",5.7,2,13
"Prosper, TX",2.8,2,12
"Radford, VA",35.4,3,12
"Raymondville, TX",32.8,12,18
"Red Oak, TX",8.1,3,13
"Rendon, TX",8.8,4,16
"Richmond, TX",19.8,4,15
"Rio Grande City, TX",29.5,16,22
"Robinson, TX",2.6,3,12
"Robstown, TX",30,4,14
"Rockport, TX",17.9,6,14
"Roma, TX",34.9,16,22
"Rose Hill, VA",3.6,3,14
"Royse City, TX",4.5,3,13
"Rutland, VT",12.2,3,12
"Saginaw, TX",4.1,2,13
"San Benito, TX",32,8,19
"Santa Fe, TX",6.2,5,15
"Santaquin, UT",3.8,1,12
"Seabrook, TX",6.3,3,13
"Seagoville, TX",14.1,12,24
"Selma, TX",7.1,3,15
"Smithfield, UT",7.4,2,12
"Snyder, TX",14.1,5,13
"South Burlington, VT",7.7,2,10
"South Houston, TX",20,7,24
"South Ogden, UT",6.8,4,13
"Stafford, TX",11.9,3,15
"Staunton, VA",12.3,4,13
"Stephenville, TX",20.5,4,12
"Stone Ridge, VA",0.7,1,11
"Sudley, VA",7.2,4,18
"Sugarland Run, VA",4.7,2,13
"Sulphur Springs, TX",13.9,7,15
"Sweetwater, TX",18.8,5,13
"Taylor, TX",11.5,3,11
"Terrell, TX",13.4,4,14
Texas,14.2,6,18
"Timberlake, VA",5.6,5,14
"Timberwood Park, TX",5.1,2,12
"Tomball, TX",11.7,2,12
"Trophy Club, TX",2.5,1,9
"Tysons, VA",6.7,10,6
US,12.8,5,14
"Universal City, TX",13.2,3,15
Utah,8.6,1,11
"Uvalde, TX",20.9,13,19
Vermont,10.3,3,7
"Vernal, UT",19,4,14
"Vernon, TX",17.1,4,13
"Vidor, TX",11.6,4,11
"Vienna, VA",3.7,2,11
Virginia,10.2,2,8
"Wakefield, VA",1.9,1,11
"Watauga, TX",9.3,2,11
"Waynesboro, VA",16.6,4,13
"Webster, TX",16.9,4,16
"Wells Branch, TX",14,3,16
"West Haven, UT",4.7,2,12
"West Point, UT",1.6,2,11
"West Springfield, VA",3.9,2,12
"West University Place, TX",1.9,2,11
"White Settlement, TX",10.1,4,14
"Williamsburg, VA",15.5,2,11
"Wolf Trap, VA",2.9,2,11
"Woodlawn, VA",10.7,10,21
"Woods Cross, UT",5.5,2,10
"Wyndham, VA",1.1,3,13
"American Fork, UT",6.3,2,13
"Annandale, VA",10.7,4,16
"Appleton,WI",9.6,2,10
"Ashburn, VA",3.5,1,12
"Beloit,WI",17.7,3,11
"Blacksburg, VA",45.2,3,12
"Bothell, WA",4.5,2,11
"Bountiful, UT",5.1,2,10
"Bremerton, WA",14.6,3,12
"Brookfield,WI",3.1,1,8
"Burien, WA",11.7,5,17
"Burke, VA",1.8,1,11
"Burlington, VT",23.8,2,10
"Caledonia,WI",5.1,5,13
"Casper, WY",10.9,3,11
"Cave Spring, VA",6.4,3,10
"Cedar City, UT",19,4,13
"Centreville, VA",6.8,2,13
"Charleston, WV",17.5,4,11
"Charlottesville, VA",23.1,3,12
"Cheyenne, WY",8.7,3,12
"Clearfield, UT",11.6,2,11
"Cottonwood Heights, UT",6.1,2,11
"Dale City, VA",6.2,3,17
"Danville, VA",23.1,7,15
"Des Moines, WA",11.3,4,16
"Draper, UT",4.7,1,10
"Eagle Mountain, UT",4.6,1,12
"Eau Claire,WI",15.5,3,11
"Edmonds, WA",4.4,2,12
"Fair Oaks, VA",5.4,2,13
"Fitchburg,WI",10.4,2,11
"Fond du Lac,WI",11.6,2,10
"Franklin,WI",4.9,3,11
"Fredericksburg, VA",14.3,2,13
"Gillette, WY",10.1,4,12
"Graham, WA",7,2,11
"Greenfield,WI",8.5,3,12
"Harrisonburg, VA",25.8,4,13
"Herriman, UT",5.7,1,12
"Holladay, UT",6.4,3,11
"Huntington, WV",30.2,5,11
"Issaquah, WA",7.4,1,11
"Janesville,WI",9,3,11
"Kaysville, UT",3.2,2,11
"Kearns, UT",9.8,3,16
"La Crosse,WI",22.1,3,11
"Lacey, WA",9.6,3,12
"Lake Ridge, VA",4.8,3,17
"Lake Stevens, WA",5.4,2,10
"Lakewood, WA",13.6,4,16
"Laramie, WY",25.3,3,12
"Leesburg, VA",3.6,2,11
"Lehi, UT",5.2,1,11
"Linton Hall, VA",1.2,1,10
"Logan, UT",24.6,2,12
"Longview, WA",13.7,3,12
"Lynnwood, WA",15.6,3,12
"Magna, UT",8.2,4,17
"Manassas, VA",5.6,4,18
"Manitowoc,WI",14.1,3,12
"Maple Valley, WA",4.6,2,9
"Marysville, WA",6.1,2,11
"McLean, VA",2.2,1,10
"Mechanicsville, VA",5.5,2,10
"Menomonee Falls,WI",3.5,1,8
"Mercer Island, WA",4.9,1,11
"Midvale, UT",9.7,2,11
"Millcreek, UT",8.8,3,12
"Morgantown, WV",34.1,3,11
"Mount Pleasant,WI",7,5,13
"Mount Vernon, WA",16.5,3,12
"Murray, UT",6.8,3,13
"Neenah,WI",11,3,11
"New Berlin,WI",3.9,1,8
"Oak Creek,WI",4.9,3,11
"Oakton, VA",5.2,2,11
"Olympia, WA",14,3,12
"Oshkosh,WI",16.5,3,11
"Parkersburg, WV",21.7,4,10
"Parkland, WA",12.5,5,16
"Pasco, WA",15.4,4,15
"Petersburg, VA",21.3,7,17
"Pleasant Grove, UT",6.1,2,13
"Pullman, WA",33.6,6,15
"Puyallup, WA",6.6,2,12
"Redmond, WA",6,1,12
"Reston, VA",6.4,2,12
"Richland, WA",8.1,4,14
"Riverton, UT",3.2,2,11
"Roy, UT",5.8,2,12
"Salem, VA",10,6,15
"Sammamish, WA",3.1,1,11
"Saratoga Springs, UT",4.7,1,12
"SeaTac, WA",10.7,5,17
"Sheboygan,WI",11,3,11
"Shoreline, WA",8.4,2,11
"Short Pump, VA",4.2,3,13
"South Hill, WA",5.7,2,12
"South Jordan, UT",2.8,2,11
"South Riding, VA",3.4,1,12
"South Salt Lake, UT",18.2,3,13
"Spanaway, WA",10.8,5,16
"Spanish Fork, UT",6.1,1,11
"Springfield, VA",6.5,2,13
"Springville, UT",7.7,1,11
"Sterling, VA",7.7,2,13
"Stevens Point,WI",17.9,3,12
"Sun Prairie,WI",5.6,2,10
"Superior,WI",13.2,4,12
"Syracuse, UT",6,2,11
"Taylorsville, UT",9,4,16
"Tooele, UT",5.1,4,13
"Tuckahoe, VA",6.6,3,13
US,12.8,5,14
"University Place, WA",7.6,3,13
Utah,8.6,1,11
Vermont,10.3,3,7
Virginia,10.2,2,8
"Walla Walla, WA",13.5,5,14
Washington,9.9,2,13
"Washington, UT",4.6,2,11
"Waukesha,WI",10.6,2,10
"Wausau,WI",12.5,3,10
"Wauwatosa,WI",6,3,12
"Wenatchee, WA",13.3,4,14
"West Allis,WI",10.4,3,12
"West Bend,WI",7.4,2,9
"West Falls Church, VA",5.7,5,12
West Virginia,16.8,3,12
"Wheeling, WV",16.5,4,10
"Winchester, VA",13.3,3,11
Wisconsin,10.8,2,9
Wyoming,11.4,1,13
"Aberdeen, WA",25.2,5,13
"Allouez,WI",5.6,2,10
"Anacortes, WA",8.3,3,12
"Arlington, WA",6.9,2,11
"Artondale, WA",2.6,2,10
"Ashwaubenon,WI",10.8,2,10
"Bainbridge Island, WA",2.6,2,10
"Baraboo,WI",11.3,3,11
"Battle Ground, WA",6.4,2,10
"Beaver Dam,WI",6.4,3,13
"Beckley, WV",22.9,6,13
"Bellevue,WI",6.7,2,10
"Bonney Lake, WA",5.1,2,11
"Bothell East, WA",2.5,1,11
"Bothell West, WA",3.6,1,11
"Brown Deer,WI",9.4,3,12
"Bryn Mawr-Skyway, WA",13.2,3,15
"Burlington,WI",11.4,5,13
"Camano, WA",5.8,2,8
"Camas, WA",3.8,2,11
"Cedarburg,WI",5.3,2,9
"Centralia, WA",22.1,4,13
"Cheney, WA",34.2,2,11
"Chippewa Falls,WI",12.3,3,11
"Clarksburg, WV",24.1,4,12
"Cottage Lake, WA",2.5,1,9
"Covington, WA",4.8,2,10
"Cudahy,WI",11.8,3,11
"De Pere,WI",7.5,2,10
"DeForest,WI",11.9,2,10
"East Renton Highlands, WA",3.6,2,11
"East Wenatchee, WA",10.9,4,14
"Eastmont, WA",6.4,4,14
"Edgewood, WA",3.8,2,11
"Elk Plain, WA",8.8,2,11
"Ellensburg, WA",22.7,6,16
"Enumclaw, WA",7.7,2,9
"Evanston, WY",9.4,4,13
"Fairmont, WV",19.9,4,12
"Fairwood, WA",9.1,3,15
"Ferndale, WA",11.3,3,12
"Fife, WA",12.8,2,11
"Five Corners, WA",7.6,2,11
"Fort Atkinson,WI",6.9,3,13
"Fort Lewis, WA",15.9,4,16
"Fox Crossing, WI",7.6,8,10
"Frederickson, WA",5,3,13
"Germantown,WI",3.1,2,9
"Glendale,WI",12.4,3,12
"Grafton,WI",3.2,2,9
"Grandview, WA",14.2,6,18
"Green River, WY",5.4,4,13
"Greendale,WI",4.5,3,12
"Harrison, WI",3.4,0,8
"Hartford,WI",7.8,2,9
"Hazel Dell, WA",9.9,2,12
"Howard,WI",7.4,2,10
"Hudson,WI",6.8,2,11
"Jackson, WY",5.9,3,12
"Kaukauna,WI",7.6,2,11
"Kelso, WA",21.1,3,12
"Kenmore, WA",6.1,2,11
"Lake Forest Park, WA",3.3,2,11
"Lake Morton-Berrydale, WA",6.6,2,10
"Lake Stickney, WA",12.3,3,15
"Lake Tapps, WA",2.2,2,11
"Lakeland North, WA",9.2,3,15
"Lakeland South, WA",4.9,3,15
"Little Chute,WI",4.8,2,11
"Lynden, WA",6.9,3,12
"Maltby, WA",3.7,1,11
"Marinette,WI",14.3,3,11
"Marshfield,WI",10.4,3,12
"Martha Lake, WA",8.4,3,14
"Martinsburg, WV",24.3,4,12
"Menasha,WI",10.5,3,11
"Menomonie,WI",19.9,2,11
"Mequon,WI",3.3,2,9
"Middleton,WI",8.1,2,11
"Midland, WA",17.6,4,16
"Mill Creek East, WA",3.7,1,11
"Mill Creek, WA",3.7,2,12
"Minnehaha, WA",6.7,2,12
"Monroe, WA",7.6,2,10
"Monroe,WI",5.8,3,12
"Moses Lake, WA",10.2,6,16
"Mountlake Terrace, WA",6.4,2,12
"Mukilteo, WA",5.6,3,15
"Muskego,WI",2.8,1,8
"Newcastle, WA",3.6,1,11
"North Lynnwood, WA",8.1,3,15
"Oak Harbor, WA",8.6,3,12
"Oconomowoc,WI",6.5,1,8
"Onalaska,WI",4.9,3,11
"Orchards, WA",12.7,2,10
"Oregon,WI",4.7,2,10
"Pewaukee,WI",2.3,2,10
"Platteville,WI",25.6,3,12
"Pleasant Prairie,WI",7.2,4,12
"Plover,WI",7.1,3,12
"Port Angeles, WA",11.5,3,12
"Port Orchard, WA",10.2,3,12
"Port Washington,WI",6.2,2,9
"Portage,WI",12.3,3,11
"Poulsbo, WA",10.9,2,10
"Prairie Ridge, WA",3,2,10
"Richfield,WI",2,2,9
"River Falls,WI",15.9,3,12
"Riverton, WY",13.5,4,13
"Rock Springs, WY",10.4,4,13
"Salmon Creek, WA",8.7,2,12
"Sedro-Woolley, WA",12.7,3,12
"Shelton, WA",24.5,5,13
"Sheridan, WY",10.8,3,12
"Shorewood,WI",10.5,3,12
"Silver Firs, WA",6.5,1,11
"Silverdale, WA",7.4,2,10
"Snoqualmie, WA",0.2,1,9
"South Charleston, WV",18.3,4,11
"South Milwaukee,WI",13.2,3,11
"St. Albans, WV",15,4,11
"Stoughton,WI",7.8,2,10
"Suamico,WI",1.6,2,10
"Sumner, WA",6.5,2,11
"Sunnyside, WA",18.6,6,18
"Sussex,WI",6.2,2,10
"Teays Valley, WV",5.5,3,10
"Tukwila, WA",12.4,5,17
"Tumwater, WA",8.5,3,12
"Two Rivers,WI",9,3,12
"Union Hill-Novelty Hill, WA",2.8,1,9
US,12.8,5,14
"Vashon, WA",9,4,16
"Verona,WI",1.6,2,11
"Vienna, WV",10.5,4,10
Washington,9.9,2,13
"Washougal, WA",14,2,11
"Watertown,WI",8.7,3,13
"Waunakee,WI",3.8,2,11
"Waupun,WI",8.9,3,12
"Weirton, WV",13.4,4,10
"West Richland, WA",5.8,4,15
West Virginia,16.8,3,12
"Weston,WI",5.8,3,10
"White Center, WA",16.4,5,17
"Whitefish Bay,WI",5.2,3,12
"Whitewater,WI",33.6,3,12
Wisconsin,10.8,2,9
"Wisconsin Rapids,WI",15.8,3,12
"Woodinville, WA",3.2,1,9
Wyoming,11.4,1,13
"Adelanto, CA",21,7,21
"Alexandria, VA",9.6,3,15
"Aliso Viejo, CA",4.9,1,10
"Altadena, CA",5.9,2,12
"Antelope, CA",10,5,18
"Apple Valley, CA",16.9,5,17
"Arcadia, CA",8.9,3,16
"Arlington, VA",6.5,2,13
"Atascadero, CA",8.8,3,12
"Atwater, CA",17.3,7,20
"Auburn, WA",9.6,3,14
"Azusa, CA",14.6,5,20
"Banning, CA",19,4,15
"Bay Point, CA",12.7,4,18
"Beaumont, CA",8.8,4,15
"Bell Gardens, CA",25.6,11,30
"Bell, CA",23.3,11,30
"Bellevue, WA",6.9,2,13
"Bellingham, WA",19.7,3,12
"Belmont, CA",5.9,2,13
"Benicia, CA",5.1,4,16
"Beverly Hills, CA",10.2,2,13
"Brawley, CA",25.8,8,21
"Brea, CA",6.5,2,13
"Brentwood, CA",6.6,2,13
"Burlingame, CA",4.2,2,12
"Calexico, CA",21,8,21
California,12.3,5,14
"Camarillo, CA",7.6,2,12
"Campbell, CA",5.5,2,14
"Carmichael, CA",11.6,3,12
"Castro Valley, CA",6.3,3,16
"Cathedral City, CA",18.8,4,13
"Ceres, CA",16.1,5,19
"Cerritos, CA",4.8,3,15
"Chesapeake, VA",8,3,14
"Claremont, CA",4.6,2,13
"Coachella, CA",14.5,8,19
"Colton, CA",14.8,5,19
"Covina, CA",9,3,16
"Culver City, CA",6.1,2,13
"Cupertino, CA",5.1,1,11
"Cypress, CA",7.3,3,14
"Dana Point, CA",5.6,2,11
"Danville, CA",4.8,1,10
"Davis, CA",26.4,4,16
"Delano, CA",18.7,7,20
"Desert Hot Springs, CA",26.3,4,13
"Diamond Bar, CA",7.9,3,15
"Dublin, CA",3.7,2,12
"East Palo Alto, CA",12,3,14
"Eastvale, CA",4.3,4,18
"El Centro, CA",23.7,8,21
"El Cerrito, CA",6.8,3,15
"El Dorado Hills, CA",4.7,2,10
"El Paso de Robles (Paso Robles), CA",9.2,3,12
"Encinitas, CA",6.7,1,10
"Eureka, CA",19.5,5,15
"Everett, WA",11,4,14
"Fair Oaks, CA",8.3,3,12
"Fallbrook, CA",15.4,3,12
"Federal Way, WA",11.3,4,16
"Florence-Graham, CA",22.6,11,29
"Florin, CA",20.7,5,17
"Foothill Farms, CA",18.3,7,19
"Foster City, CA",3.5,2,12
"Fountain Valley, CA",8.3,3,15
"French Valley, CA",6.6,4,15
"Galt, CA",9.2,3,14
"Gardena, CA",12.3,7,22
"Gilroy, CA",7.4,3,14
"Glendora, CA",7.6,2,13
"Goleta, CA",10.2,3,14
"Green Bay,WI",15.4,5,14
"Hacienda Heights, CA",8.4,3,16
"Hampton, VA",14.4,6,18
"Hanford, CA",15.5,6,19
"Hercules, CA",5.5,3,14
"Highland, CA",14.4,7,20
"Hollister, CA",9.3,6,20
"Huntington Park, CA",19.9,11,29
"Imperial Beach, CA",13.4,6,22
"Isla Vista, CA",71.5,3,14
"Kennewick, WA",14.1,4,13
"Kenosha,WI",14.8,4,12
"Kent, WA",11.3,4,17
"Kirkland, WA",6.8,2,12
"La Habra, CA",10.4,2,13
"La Mesa, CA",11.8,2,13
"La Mirada, CA",5.5,3,16
"La Presa, CA",11,4,16
"La Puente, CA",9.4,5,21
"La Quinta, CA",11,5,14
"La Verne, CA",8.5,2,13
"Ladera Ranch, CA",2.5,1,10
"Lafayette, CA",4.5,1,8
"Laguna Hills, CA",9.7,1,10
"Laguna Niguel, CA",7.2,2,11
"Lake Elsinore, CA",13.2,3,15
"Lawndale, CA",9.8,7,22
"Layton, UT",7,2,11
"Lemon Grove, CA",8.7,4,15
"Lemoore, CA",12.7,6,19
"Lincoln, CA",6.8,2,10
"Lodi, CA",14.4,4,15
"Lompoc, CA",19.4,4,16
"Los Altos, CA",2.7,2,12
"Los Banos, CA",13.8,6,21
"Los Gatos, CA",3.5,1,11
"Lynchburg, VA",17.6,5,14
"Lynwood, CA",16.5,9,27
"Madera, CA",27.4,6,18
"Madison,WI",16.6,3,12
"Manhattan Beach, CA",3.1,1,11
"Martinez, CA",6.1,3,14
"Maywood, CA",20.9,11,30
"Menlo Park, CA",5.8,3,14
"Milwaukee,WI",24.1,9,20
"Monrovia, CA",9.2,3,16
"Montclair, CA",17.8,4,18
"Montebello, CA",11.4,6,20
"Monterey Park, CA",11.4,5,19
"Monterey, CA",11.9,3,14
"Moorpark, CA",5,2,13
"Morgan Hill, CA",3.6,3,14
"National City, CA",15.2,7,22
"Newark, CA",4.3,2,15
"Newport News, VA",15.8,6,18
"Norco, CA",4.6,4,17
"Norfolk, VA",17.4,7,19
"North Highlands, CA",21.9,7,19
"Novato, CA",7.9,2,10
"Oakley, CA",6.7,2,12
"Ogden, UT",14.3,3,13
"Oildale, CA",30.5,5,15
"Orangevale, CA",8.1,2,11
"Orcutt, CA",5.3,5,19
"Orem, UT",10.5,2,13
"Pacifica, CA",5.3,2,14
"Palm Desert, CA",13.7,4,13
"Palm Springs, CA",14.5,4,13
"Palo Alto, CA",5,2,12
"Paramount, CA",14.4,8,24
"Petaluma, CA",5.9,2,12
"Pico Rivera, CA",10,6,20
"Pittsburg, CA",10.3,4,18
"Placentia, CA",7.2,3,15
"Pleasant Hill, CA",7.1,3,13
"Porterville, CA",21,7,20
"Portsmouth, VA",17.2,7,18
"Poway, CA",5.1,1,11
"Provo, UT",24.6,3,17
"Racine,WI",19.8,5,13
"Rancho Cordova, CA",11.2,3,15
"Rancho Palos Verdes, CA",3.9,2,11
"Rancho Santa Margarita, CA",4.5,1,10
"Redlands, CA",8.7,3,14
"Redondo Beach, CA",5.1,1,11
"Reedley, CA",18.4,6,18
"Renton, WA",7.9,3,15
"Richmond, VA",19.8,8,17
"Ridgecrest, CA",11.4,5,15
"Roanoke, VA",18.4,6,15
"Rocklin, CA",4.6,2,10
"Rohnert Park, CA",10.4,2,12
"Rosemead, CA",12.5,5,19
"Rowland Heights, CA",10.8,3,15
"Salt Lake City, UT",14.7,4,13
"San Bruno, CA",5.4,2,14
"San Carlos, CA",2.9,2,13
"San Clemente, CA",5.3,2,11
"San Dimas, CA",8.7,2,13
"San Gabriel, CA",12.5,4,16
"San Jacinto, CA",18,4,15
"San Juan Capistrano, CA",6.5,2,11
"San Lorenzo, CA",7.1,3,16
"San Luis Obispo, CA",29.6,2,12
"San Pablo, CA",12.4,7,22
"San Rafael, CA",9.2,2,10
"Sandy, UT",4.1,1,9
"Sanger, CA",17.4,6,18
"Santa Cruz, CA",18.7,3,12
"Santa Paula, CA",17.1,4,16
"Santee, CA",8,4,15
"Saratoga, CA",2.9,1,11
"Seaside, CA",12.3,3,14
"Seattle, WA",10,3,12
"Soledad, CA",20.1,6,20
"South Pasadena, CA",6.1,4,17
"South San Francisco, CA",6.3,2,14
"South Whittier, CA",8.7,3,16
"Spokane Valley, WA",10.6,3,11
"Spokane, WA",15.6,3,12
"Spring Valley, CA",13.6,4,15
"St. George, UT",10.5,2,11
"Stanton, CA",13.9,5,17
"Suffolk, VA",9.6,5,15
"Suisun City, CA",9.8,3,17
"Tacoma, WA",12.5,4,14
"Temescal Valley, CA",6.7,3,13
"Temple City, CA",10.3,3,16
"Tulare, CA",16,7,20
"Turlock, CA",14.7,4,16
"Twentynine Palms, CA",19.9,5,16
"Union City, CA",5.5,2,15
US,12.8,5,14
Utah,8.6,1,11
"Vancouver, WA",12.7,3,13
Vermont,10.3,3,7
"Vineyard, CA",12.7,3,14
Virginia,10.2,2,8
"Virginia Beach, VA",7.8,3,14
"Walnut Creek, CA",5.4,1,10
"Walnut, CA",7.6,3,16
"Wasco, CA",19.2,7,20
Washington,9.9,2,13
"Watsonville, CA",12.9,3,14
"West Hollywood, CA",11.9,2,13
"West Jordan, UT",6.5,2,11
"West Sacramento, CA",14.3,4,16
"West Valley City, UT",10.9,4,16
West Virginia,16.8,3,12
"West Whittier-Los Nietos, CA",11,3,16
"Westmont, CA",25.3,7,22
"Wildomar, CA",9.7,2,14
"Windsor, CA",3.8,2,10
Wisconsin,10.8,2,9
"Woodland, CA",9.3,4,16
Wyoming,11.4,1,13
"Yakima, WA",17.6,5,16
"Yorba Linda, CA",5.3,2,13
