city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Avon, IN",5.3,2,10
"Barrington, IL",5.1,2,10
"Beach Park, IL",7.9,7,20
"Bedford, IN",16.9,4,12
"Beech Grove, IN",11.8,6,15
"Bellwood, IL",10.2,4,16
"Bensenville, IL",8.9,3,14
"Blackfoot, ID",13.9,4,13
"Bloomingdale, IL",7.4,3,13
"Blue Island, IL",18.3,4,15
"Boulder Hill, IL",5.9,2,11
"Bourbonnais, IL",8.3,5,13
"Bradley, IL",9.1,5,13
"Bridgeview, IL",14.9,3,13
"Brookfield, IL",6.2,4,15
"Burley, ID",12.8,5,14
"Burr Ridge, IL",4.8,2,11
"Cahokia, IL",35.4,9,17
"Campton Hills, IL",2.3,1,8
"Canton, IL",17.3,4,11
"Cary, IL",3.1,2,10
"Cedar Lake, IN",4.9,2,10
"Centralia, IL",23.8,4,12
"Channahon, IL",3.8,3,12
"Charleston, IL",26.7,5,13
"Chatham, IL",4.3,4,11
"Chesterton, IN",11.5,3,11
"Chicago Ridge, IL",20.1,4,15
"Chubbuck, ID",8.6,3,12
"Clarksville, IN",13.4,4,12
"Collinsville, IL",12.9,3,11
"Columbia, IL",4.8,4,12
"Connersville, IN",22.3,5,14
"Country Club Hills, IL",10.5,4,16
"Crawfordsville, IN",20,4,13
"Crest Hill, IL",10.5,3,12
"Crestwood, IL",9.9,4,15
"Darien, IL",4.9,2,10
"Deerfield, IL",3.4,1,9
"Dixon, IL",16.8,4,12
"Dolton, IL",19.6,8,21
"Dyer, IN",5.6,2,11
"East Moline, IL",14,4,12
"East Peoria, IL",10.6,3,10
"Effingham, IL",17.7,3,11
"Elmwood Park, IL",5.5,4,16
"Evergreen Park, IL",5.5,4,15
"Ewa Beach, HI",6.6,2,15
"Fairview Heights, IL",8.8,9,17
"Forest Park, IL",10.5,4,16
"Fox Lake, IL",13.1,2,12
"Frankfort, IN",14.2,4,13
"Frankfort, IL",2.2,1,8
"Franklin Park, IL",12.7,4,16
"Freeport, IL",20.3,5,13
"Gages Lake, IL",5.7,2,12
"Garden City, ID",11.4,3,11
"Geneva, IL",2.4,2,9
"Glen Carbon, IL",7.6,2,10
"Godfrey, IL",6,5,12
"Grayslake, IL",6.3,2,12
"Greencastle, IN",13.1,3,10
"Greenfield, IN",6.5,2,10
"Greensburg, IN",11.4,5,13
"Griffith, IN",8.2,9,19
"Halawa, HI",7.8,3,14
"Harvey, IL",28.5,7,20
Hawaii,11.2,2,15
"Hawaiian Paradise Park, HI",5.1,4,16
"Hayden, ID",7.4,2,11
"Hazel Crest, IL",18,5,16
"Herrin, IL",14.1,6,13
"Hickory Hills, IL",9.6,2,11
"Highland, IL",8.9,2,10
"Highland, IN",8.6,3,12
"Hinsdale, IL",1.6,2,10
"Homer Glen, IL",3.4,1,8
"Homewood, IL",8.8,6,18
"Huntington, IN",17,3,11
Idaho,11,3,13
Illinois,12.1,4,10
Indiana,12.2,6,12
"Jacksonville, IL",17.9,4,11
"Jasper, IN",12.4,4,12
"Jerome, ID",18.2,6,16
"Justice, IL",23.6,3,13
"Kailua, HI",9.8,4,16
"Kapaa, HI",7.4,3,16
"Kapolei, HI",6.1,2,15
"Kewanee, IL",20.9,4,11
"Kihei, HI",8.4,3,16
"Kuna, ID",7.1,3,12
"La Grange Park, IL",5.6,4,16
"La Grange, IL",3.7,3,13
"La Porte, IN",18,4,12
"Lahaina, HI",11.8,3,16
"Lake Forest, IL",3.1,2,10
"Lake Station, IN",18.1,9,19
"Lake Zurich, IL",3.8,1,9
"Lebanon, IN",10.1,2,10
"Lemont, IL",4.6,2,10
"Libertyville, IL",2.8,2,12
"Lincoln, IL",14.1,3,11
"Lincolnwood, IL",5.9,3,12
"Lindenhurst, IL",4.5,2,12
"Lisle, IL",6,2,11
"Logansport, IN",17.3,4,12
"Loves Park, IL",13.1,3,11
"Lyons, IL",8.6,3,13
"Machesney Park, IL",10.7,3,11
"Macomb, IL",26.7,4,11
"Madison, IN",18.2,5,13
"Maili, HI",15.2,4,18
"Makakilo, HI",6.6,2,15
"Marion, IL",17.5,6,13
"Markham, IL",21,5,17
"Martinsville, IN",11.7,3,10
"Matteson, IL",12.8,5,18
"Mattoon, IL",22.5,5,13
"Maywood, IL",14.7,4,16
"Midlothian, IL",11.9,4,15
"Mililani Mauka, HI",2.8,3,13
"Minooka, IL",3.1,2,11
"Mokena, IL",4.9,1,8
"Montgomery, IL",9.7,3,12
"Morris, IL",8.4,2,11
"Morton Grove, IL",7.4,3,12
"Morton, IL",5.7,3,10
"Mount Vernon, IL",21,4,12
"Mountain Home, ID",15.2,6,16
"Munster, IN",6.1,3,12
"Nanakuli, HI",14.4,4,18
"New Castle, IN",19,4,13
"New Haven, IN",7.9,3,12
"Norridge, IL",3.1,4,16
"North Aurora, IL",6.4,3,12
"Northlake, IL",12.1,4,16
"Ocean Pointe, HI",4.4,2,15
"Ottawa, IL",15.6,4,13
"Palos Heights, IL",6.7,3,12
"Palos Hills, IL",10,2,10
"Park Forest, IL",15,5,17
"Peru, IN",22.9,5,13
"Plano, IL",8.4,2,11
"Plymouth, IN",18.6,4,13
"Pontiac, IL",14.7,5,12
"Prospect Heights, IL",8.6,2,12
"Rantoul, IL",19.3,4,14
"Richton Park, IL",10.9,5,18
"River Forest, IL",1.1,4,16
"River Grove, IL",10.9,4,16
"Riverdale, IL",30.1,7,20
"Rolling Meadows, IL",6.3,3,12
"Roscoe, IL",3.5,3,11
"Roselle, IL",3.4,3,13
